idx,date,truth,season,norros_f,linearP_f,farima_f,persist
7292,2001-11-07 15:20:00,1443018585176.0,0.0,1510681332296.5872,1495999996586.3992,1458145167067.0427,1497171685224.0
7293,2001-11-07 15:30:00,1402677520080.0,0.0,1464794228149.8828,1465690948705.5737,1437150076550.8923,1443018585176.0
7294,2001-11-07 15:40:00,1542228922592.0,0.0,1430771119614.4438,1432056880239.8164,1406155112430.0479,1402677520080.0
7295,2001-11-07 15:50:00,1431248808784.0,0.0,1512795040215.8809,1518194486493.5522,1549447234541.9712,1542228922592.0
7296,2001-11-07 16:00:00,1528021187784.0,0.0,1452374297321.5142,1447380232919.1082,1424239229262.0452,1431248808784.0
7297,2001-11-07 16:10:00,1651486516296.0,0.0,1509345642515.2544,1514199932167.0212,1533100056818.0847,1528021187784.0
7298,2001-11-07 16:20:00,1655256504840.0,0.0,1596136531026.28,1595892893442.475,1645099597836.2686,1651486516296.0
7299,2001-11-07 16:30:00,1770549426992.0,0.0,1616244469889.0461,1610514244805.5488,1637555459626.94,1655256504840.0
7300,2001-11-07 16:40:00,1891871083184.0,0.0,1699688289027.1843,1697480338906.497,1753959815238.044,1770549426992.0
7301,2001-11-07 16:50:00,1977064718400.0,0.0,1793611468576.0347,1786981860755.246,1862905708707.736,1891871083184.0
7302,2001-11-07 17:00:00,1872250296392.0,0.0,1869327422680.77,1859001596924.7188,1936513776625.3328,1977064718400.0
7303,2001-11-07 17:10:00,1939210133272.0,0.0,1822799613389.3857,1808275824339.7292,1826691925864.5046,1872250296392.0
7304,2001-11-07 17:20:00,1950280891248.0,0.0,1867881006954.8408,1862524476411.7498,1908088976332.2637,1939210133272.0
7305,2001-11-07 17:30:00,1973087074544.0,0.0,1885759699945.2566,1876443715784.1487,1916025232940.0598,1950280891248.0
7306,2001-11-07 17:40:00,1847349637352.0,0.0,1907622172857.57,1899644053549.1887,1939782214148.1196,1973087074544.0
7307,2001-11-07 17:50:00,1629348076376.0,0.0,1834612091473.3894,1823971330517.329,1813795535677.4805,1847349637352.0
7308,2001-11-07 18:00:00,1553776762048.0,0.0,1691977728244.7202,1686698452118.8315,1616766763177.625,1629348076376.0
7309,2001-11-07 18:10:00,1490944769336.0,0.0,1624589396753.9531,1630379148029.2776,1571646268638.852,1553776762048.0
7310,2001-11-07 18:20:00,1591963700256.0,0.0,1567384431538.6655,1573961109623.3174,1518650900706.9336,1490944769336.0
7311,2001-11-07 18:30:00,1572902512240.0,0.0,1615867100662.773,1626464415541.7812,1625210268277.4067,1591963700256.0
7312,2001-11-07 18:40:00,1516367989880.0,0.0,1599962371144.222,1601941217237.6753,1587311625972.9292,1572902512240.0
7313,2001-11-07 18:50:00,1503273415080.0,0.0,1562152222966.915,1565275988010.2722,1533239228743.8137,1516367989880.0
7314,2001-11-07 19:00:00,1579911256984.0,0.0,1546016291204.4834,1551551520434.6033,1525408133129.3672,1503273415080.0
7315,2001-11-07 19:10:00,1676913904048.0,0.0,1589068725534.3735,1595497345996.4531,1601907657712.9849,1579911256984.0
7316,2001-11-07 19:20:00,1461866839176.0,0.0,1653148133455.7139,1655836252624.5334,1687573705814.548,1676913904048.0
7317,2001-11-07 19:30:00,1500222907200.0,0.0,1523958234885.5771,1518160128764.686,1461701916685.079,1461866839176.0
7318,2001-11-07 19:40:00,1601621007368.0,0.0,1530857489420.4792,1539136483777.2314,1521930793976.3303,1500222907200.0
7319,2001-11-07 19:50:00,1526123142264.0,0.0,1590612029309.1963,1595217437261.0251,1616580631444.4958,1601621007368.0
7320,2001-11-07 20:00:00,1574975175688.0,0.0,1549177448792.0073,1546868259774.0955,1529710584543.9678,1526123142264.0
7321,2001-11-07 20:10:00,1772201871552.0,0.0,1574919181281.9678,1578839466523.031,1586626661532.1482,1574975175688.0
7322,2001-11-07 20:20:00,1695830356272.0,0.0,1698580642187.6523,1700787883188.8447,1771468093390.2563,1772201871552.0
