idx,date,truth,season,norros_f,linearP_f,farima_f,persist
7314,2001-11-07 19:00:00,1579911256984.0,482018987828.125,1553250772394.008,1556313405861.9062,1515952343110.3887,1519123396508.8994
7315,2001-11-07 19:10:00,1676913904048.0,502029503336.125,1606023074224.122,1610941468755.5,1578113095494.782,1599921772492.0112
7316,2001-11-07 19:20:00,1461866839176.0,522506027442.96875,1676794758284.2375,1678564036691.2532,1660634442818.2979,1697390428154.8542
7317,2001-11-07 19:30:00,1500222907200.0,530681355855.78125,1540656670477.3816,1534713068481.3137,1494340851945.7397,1470042167588.8003
7318,2001-11-07 19:40:00,1601621007368.0,559725973995.25,1568547106040.2524,1577529523585.753,1530061302818.909,1529267525339.4565
7319,2001-11-07 19:50:00,1526123142264.0,573118838807.7812,1620908679735.775,1625962638269.8022,1595376009501.7246,1615013872180.5361
7320,2001-11-07 20:00:00,1574975175688.0,582513823154.625,1576157149340.6948,1575589020594.8977,1539849053213.4397,1535518126610.837
7321,2001-11-07 20:10:00,1772201871552.0,598235112077.0625,1607930918864.2207,1613724848380.1582,1579495770669.7104,1590696464610.4453
7322,2001-11-07 20:20:00,1695830356272.0,609224065528.4688,1729283806113.5085,1733314272288.6777,1730900932534.5723,1783190825003.4043
7323,2001-11-07 20:30:00,1744870825552.0,618208412453.1562,1697048410982.4229,1689276031250.582,1687189715454.6628,1704814703196.676
7324,2001-11-07 20:40:00,1734905572352.0,606067490884.7188,1707421922428.537,1707246741569.4336,1704374870809.607,1732729903983.5532
7325,2001-11-07 20:50:00,1857362374712.0,619222651684.3125,1725502273707.5078,1721882642355.1367,1722564101587.5874,1748060733151.582
7326,2001-11-07 21:00:00,1709129043648.0,622045266169.2812,1801452621098.7896,1800435906378.4426,1811258161100.2373,1860184989196.958
7327,2001-11-07 21:10:00,1588990829256.0,612926928966.875,1705909081242.1104,1696005052876.941,1695760268560.2722,1700010706445.5889
7328,2001-11-07 21:20:00,1508879401160.0,621535881385.9688,1637078141842.44,1636171842529.227,1610696089267.4316,1597599781675.101
7329,2001-11-07 21:30:00,1624515531888.0,621020279836.0938,1568346792499.8257,1571273135450.7498,1530207889483.9402,1508363799610.1296
7330,2001-11-07 21:40:00,1737842390352.0,635690189595.9688,1642639123408.3804,1651321695722.1929,1622345996433.639,1639185441647.8882
7331,2001-11-07 21:50:00,1780260784808.0,642357631719.4062,1713969936459.8232,1715449976753.3738,1709089126848.3625,1744509832475.4526
7332,2001-11-07 22:00:00,1541770262352.0,653440987212.5312,1758445981820.7158,1755904183391.435,1756385690123.0366,1791344140301.1177
7333,2001-11-07 22:10:00,1538498165208.0,660241916533.7812,1613505712952.7913,1606158496911.7139,1577094168099.423,1548571191673.2446
7334,2001-11-07 22:20:00,1476504876312.0,651739354267.5625,1580375317811.733,1588325906397.8833,1543159559323.3076,1529995602941.7778
7335,2001-11-07 22:30:00,1384884100096.0,649045757383.4062,1534997132440.7632,1539988726447.1584,1491838397406.8984,1473811279427.8423
7336,2001-11-07 22:40:00,1502754306896.0,627406362915.6562,1446483385484.1357,1452814207295.2869,1393545806099.674,1363244705628.2422
7337,2001-11-07 22:50:00,1515481126728.0,608169967020.4062,1503267774836.5093,1515946056791.9165,1470398921051.9717,1483517911000.7476
7338,2001-11-07 23:00:00,1586334062632.0,593250194160.375,1512229530392.4119,1515480934112.405,1486111969264.837,1500561353867.966
7339,2001-11-07 23:10:00,1581901707856.0,539374542970.6875,1514015901071.005,1517433873299.483,1502213386767.3916,1532458411442.3384
7340,2001-11-07 23:20:00,1457518809016.0,506274237326.0,1520921683110.7466,1520061609428.9119,1515491579110.4297,1548801402211.302
7341,2001-11-07 23:30:00,1491216865472.0,478213888562.5625,1443758509123.9072,1439669333736.1858,1424444601597.5566,1429458460252.5645
7342,2001-11-07 23:40:00,1406353421752.0,438284198046.4375,1440937783827.2861,1444311186654.5542,1427892530077.4753,1451287174955.885
7343,2001-11-07 23:50:00,1017545068824.0,405568737150.375,1383743764973.3506,1381805096641.2822,1364530141640.3242,1373637960855.9238
7344,2001-11-08 00:00:00,1451686160928.0,445463075320.25,1196788255271.6465,1193346402414.978,1128009024339.068,1057439406993.8623
7345,2001-11-08 00:10:00,1393061059872.0,421039958806.25,1391300351413.4094,1414491757240.554,1377498067160.9844,1427263044413.984
7346,2001-11-08 00:20:00,1383923407168.0,409681490435.625,1377437312144.8464,1372048956303.191,1360216377376.9438,1381702591501.3472
7347,2001-11-08 00:30:00,1505514453888.0,396953827685.125,1371686613621.3389,1372854795648.254,1352787828113.2083,1371195744417.473
7348,2001-11-08 00:40:00,1364007007600.0,389056268529.625,1452577947360.2776,1455029535576.6355,1450325066429.8203,1497616894732.5237
7349,2001-11-08 00:50:00,1277393749488.0,391465954750.8125,1383874928049.8618,1376809934155.2866,1361875549916.368,1366416693821.2114
7350,2001-11-08 01:00:00,1061492316200.0,390064325770.75,1319910033956.99,1321113193863.5781,1285999291397.0586,1275992120507.9487
7351,2001-11-08 01:10:00,1078010251096.0,375703210001.25,1159736901721.1196,1161736555599.7573,1097549469380.5332,1047131200430.5063
7352,2001-11-08 01:20:00,1030657616880.0,355915633076.375,1134779885641.7812,1148828789637.5413,1080493290597.2808,1058222674171.1243
7353,2001-11-08 01:30:00,880506716584.0,340589266016.5,1090979598121.3619,1099614470092.8228,1037625969275.514,1015331249820.1521
7354,2001-11-08 01:40:00,821563201216.0,322287288511.125,975530633895.113,983238113035.8029,909313110050.0863,862204739078.5985
7355,2001-11-08 01:50:00,753694816592.0,307295936962.0,914079722028.6957,927730216452.917,848501911076.2424,806571849666.8981
7356,2001-11-08 02:00:00,722188984296.0,286306680900.0625,844120907487.7772,856944849585.4913,776729617681.3086,732705560530.0476
7357,2001-11-08 02:10:00,706432726680.0,257738479840.3125,794015679932.0679,808287752428.2577,730336969435.0437,693620783236.2219
