pooled over R = 10 replicates (3 test + 3 train seeds each)
alpha = 1.04   H = 0.980|0.980|0.980
test 2h/replicate   500 sources/cell   fixed split 1|1|1   beam 790 Mb/s   buffer 1 MiB
mean +/- SE of the mean; SE = sd/sqrt(R)

  forecast_sd_ratio_c2     7.349e-01+/-1e-02 7.458e-01+/-1e-02
  slot_err_c0              1.381e+02+/-3e+00 1.428e+02+/-4e+00
  slot_err_c1              1.456e+02+/-3e+00 1.527e+02+/-5e+00
  slot_err_c2              1.416e+02+/-2e+00 1.483e+02+/-4e+00

  PAIRED (same seeds; negative = first policy better).  t-interval at 95%
    dmax_cell[linearp-dlinear] = +0.0721 +/- 0.2329 Mb   linearp better in 1/10
    dimbalance[linearp-dlinear] = -0.0708 +/- 0.1411 Mb   linearp better in 4/10
    dmax[linearp-dlinear] = +0.1070 +/- 0.6342 Mb   linearp better in 5/10
    dmean[linearp-dlinear] = -0.0221 +/- 0.0415 Mb   linearp better in 6/10
    dmase[linearp-dlinear] = -0.0441 +/- 0.0508    linearp better in 8/10
    dmase_eq[linearp-dlinear] = -0.0448 +/- 0.0514    linearp better in 8/10
    dmase_worst[linearp-dlinear] = -0.1045 +/- 0.1264    linearp better in 8/10
    dsd_ratio[linearp-dlinear] = -0.0002 +/- 0.0081    linearp better in 6/10
    dsd_ratio_eq[linearp-dlinear] = -0.0007 +/- 0.0064    linearp better in 6/10
    loss[linearp]/loss[dlinear] = 1.295 (x/ 1.357)   linearp better in 4/6

